"subject" "activity" "mean of means" "mean of sd"
13 "LAYING" -0.624337936876007 0.553755547011914
14 "LAYING" -0.628355645282404 0.529959358732366
15 "LAYING" -0.639883147448173 0.531265854159869
16 "LAYING" -0.635906117499551 0.540805566032016
17 "LAYING" -0.629876420657766 0.544111902566298
18 "LAYING" -0.645039855011435 0.539909038662556
19 "LAYING" -0.632999218754884 0.546461684255782
20 "LAYING" -0.644397438696908 0.532311298923294
21 "LAYING" -0.63110876443376 0.543398484551232
22 "LAYING" -0.632109081483277 0.534082415245892
23 "LAYING" -0.628089473591726 0.551576627950253
24 "LAYING" -0.634203387560794 0.541737906273239
25 "LAYING" -0.589506698496036 0.545450415711338
26 "LAYING" -0.640679888089531 0.545536215521252
27 "LAYING" -0.645993647892745 0.539991225164833
28 "LAYING" -0.640518710327799 0.530976406623764
29 "LAYING" -0.646324698842316 0.547384622922697
30 "LAYING" -0.642625296795821 0.529010124054845
